customer_id,signup_date,city,segment
C0001,2025-10-16,Lima,retail
C0002,2024-10-08,Arequipa,retail
C0003,2024-05-22,Lima,corporate
C0004,2025-07-12,Lima,corporate
C0005,2025-03-08,Lima,retail
C0006,2024-04-05,Arequipa,retail
C0007,2025-06-01,Piura,retail
C0008,2025-07-28,Arequipa,corporate
C0009,2025-10-27,Piura,premium
C0010,2024-08-13,Cusco,corporate
C0011,2024-10-11,Lima,retail
C0012,2025-03-08,Trujillo,premium
C0013,2024-06-08,Arequipa,premium
C0014,2024-04-14,Lima,premium
C0015,2024-04-09,Trujillo,premium
C0016,2025-09-10,Trujillo,retail
C0017,2025-04-15,Piura,retail
C0018,2025-01-22,Lima,corporate
C0019,2024-10-27,Piura,premium
C0020,2025-08-14,Arequipa,corporate
C0021,2024-03-12,Lima,corporate
C0022,2024-08-21,Trujillo,retail
C0023,2024-08-26,Lima,premium
C0024,2024-10-11,Cusco,corporate
C0025,2025-01-08,Arequipa,premium
C0026,2024-12-29,Arequipa,corporate
C0027,2024-09-30,Lima,corporate
C0028,2025-10-12,Arequipa,corporate
C0029,2024-09-07,Arequipa,premium
C0030,2025-01-23,Trujillo,corporate
C0031,2025-07-24,Arequipa,corporate
C0032,2024-11-28,Lima,retail
C0033,2024-02-02,Trujillo,premium
C0034,2024-10-01,Lima,retail
C0035,2025-08-03,Trujillo,retail
C0036,2025-11-02,Cusco,premium
C0037,2025-10-20,Cusco,retail
C0038,2024-09-28,Arequipa,retail
C0039,2025-07-28,Piura,premium
C0040,2025-08-21,Cusco,corporate
C0041,2025-02-12,Trujillo,retail
C0042,2024-05-21,Piura,premium
C0043,2024-04-03,Lima,retail
C0044,2024-06-05,Arequipa,corporate
C0045,2025-03-08,Piura,retail
C0046,2025-01-29,Cusco,corporate
C0047,2025-04-24,Piura,premium
C0048,2025-07-20,Lima,corporate
C0049,2024-04-27,Piura,premium
C0050,2025-10-18,Trujillo,retail
C0051,2024-10-27,Cusco,retail
C0052,2025-04-09,Lima,corporate
C0053,2024-09-26,Piura,retail
C0054,2025-06-03,Lima,corporate
C0055,2024-11-01,Piura,corporate
C0056,2024-07-22,Arequipa,premium
C0057,2024-06-14,Piura,corporate
C0058,2024-01-01,Piura,premium
C0059,2025-05-15,Lima,retail
C0060,2025-01-06,Trujillo,retail
C0061,2024-02-29,Arequipa,corporate
C0062,2024-03-21,Lima,corporate
C0063,2025-05-12,Lima,corporate
C0064,2024-05-08,Arequipa,corporate
C0065,2025-05-01,Piura,retail
C0066,2024-09-28,Piura,corporate
C0067,2025-03-09,Arequipa,corporate
C0068,2024-07-24,Trujillo,premium
C0069,2025-11-18,Trujillo,premium
C0070,2025-06-13,Cusco,retail
C0071,2024-09-10,Arequipa,retail
C0072,2024-12-12,Lima,corporate
C0073,2025-07-21,Arequipa,corporate
C0074,2024-08-13,Lima,retail
C0075,2025-10-08,Lima,retail
C0076,2024-03-10,Lima,premium
C0077,2024-03-13,Piura,retail
C0078,2024-10-12,Cusco,retail
C0079,2025-07-06,Arequipa,corporate
C0080,2025-08-07,Piura,premium
C0081,2024-09-05,Cusco,premium
C0082,2024-07-13,Lima,retail
C0083,2025-11-05,Cusco,premium
C0084,2025-03-09,Cusco,premium
C0085,2024-02-25,Lima,retail
C0086,2025-02-16,Trujillo,retail
C0087,2024-09-11,Arequipa,retail
C0088,2025-07-03,Cusco,retail
C0089,2025-03-08,Arequipa,premium
C0090,2025-04-18,Arequipa,retail
C0091,2025-03-29,Piura,retail
C0092,2024-02-21,Piura,retail
C0093,2024-04-05,Arequipa,retail
C0094,2025-02-20,Cusco,premium
C0095,2024-08-06,Cusco,retail
C0096,2024-06-17,Cusco,retail
C0097,2025-02-03,Trujillo,premium
C0098,2024-10-19,Cusco,corporate
C0099,2025-07-23,Cusco,retail
C0100,2024-07-13,Trujillo,retail
