sale_id,customer_id,product_id,timestamp,quantity,unit_price,total_line
S000001,C0018,24,2025-04-25 00:47:00,3,130.0,390.0
S000002,C0055,2,2025-04-15 21:47:00,5,52.6,263.0
S000003,C0004,18,2025-01-31 02:13:00,2,257.62,515.24
S000004,C0058,19,2025-07-23 22:41:00,5,215.56,1077.8
S000005,C0044,9,2025-10-12 00:48:00,2,352.09,704.18
S000006,C0049,4,2025-06-09 06:48:00,3,60.08,180.24
S000007,C0094,15,2026-01-03 11:38:00,3,405.49,1216.47
S000008,C0038,27,2026-07-04 03:59:00,4,48.61,194.44
S000009,C0030,25,2026-01-06 18:12:00,1,32.45,32.45
S000010,C0049,9,2025-10-24 02:54:00,2,434.58,869.16
S000011,C0046,7,2026-04-10 20:53:00,3,89.7,269.1
S000012,C0022,18,2025-10-01 22:59:00,1,308.47,308.47
S000013,C0082,23,2025-09-08 05:29:00,4,142.27,569.08
S000014,C0100,2,2026-07-25 07:43:00,3,423.0,1269.0
S000015,C0009,7,2025-08-23 01:51:00,3,206.57,619.71
S000016,C0051,29,2026-08-04 22:20:00,2,331.16,662.32
S000017,C0072,18,2026-04-15 04:16:00,2,130.85,261.7
S000018,C0052,12,2025-09-27 23:37:00,4,449.93,1799.72
S000019,C0007,28,2025-08-13 04:32:00,4,54.55,218.2
S000020,C0055,20,2025-04-23 04:40:00,2,398.12,796.24
S000021,C0068,9,2025-03-07 12:24:00,5,498.1,2490.5
S000022,C0069,25,2026-07-21 00:43:00,1,344.04,344.04
S000023,C0021,15,2025-10-01 20:21:00,1,153.82,153.82
S000024,C0098,6,2025-01-04 23:56:00,3,486.23,1458.69
S000025,C0065,20,2026-06-04 03:55:00,3,422.42,1267.26
S000026,C0100,30,2025-07-23 04:23:00,2,274.3,548.6
S000027,C0015,30,2026-06-28 00:38:00,3,249.42,748.26
S000028,C0073,3,2026-01-07 09:15:00,1,128.03,128.03
S000029,C0069,25,2025-03-29 23:31:00,1,489.21,489.21
S000030,C0022,9,2025-05-09 04:42:00,4,473.96,1895.84
S000031,C0097,24,2026-06-25 19:27:00,2,465.17,930.34
S000032,C0084,12,2025-07-25 22:19:00,4,497.62,1990.48
S000033,C0009,11,2026-03-25 16:28:00,1,131.47,131.47
S000034,C0001,3,2025-01-22 18:35:00,2,298.34,596.68
S000035,C0010,17,2025-03-02 07:04:00,1,431.22,431.22
S000036,C0017,24,2025-09-01 08:42:00,4,114.98,459.92
S000037,C0053,7,2026-08-08 18:30:00,2,394.46,788.92
S000038,C0053,15,2025-04-07 03:42:00,4,183.61,734.44
S000039,C0094,11,2025-02-25 21:41:00,1,39.7,39.7
S000040,C0018,14,2025-04-22 07:12:00,2,272.78,545.56
S000041,C0010,15,2025-07-07 08:29:00,2,438.5,877.0
S000042,C0012,30,2026-07-18 03:03:00,5,419.65,2098.25
S000043,C0052,29,2025-08-31 05:26:00,4,245.87,983.48
S000044,C0034,30,2025-03-02 05:24:00,1,492.8,492.8
S000045,C0063,5,2026-04-11 09:27:00,5,334.32,1671.6
S000046,C0070,2,2025-07-14 09:13:00,1,293.8,293.8
S000047,C0068,6,2025-11-18 01:03:00,5,243.63,1218.15
S000048,C0009,22,2025-02-28 16:05:00,2,43.58,87.16
S000049,C0077,2,2025-08-29 12:07:00,5,130.65,653.25
S000050,C0041,30,2025-03-25 13:42:00,5,286.96,1434.8
S000051,C0051,5,2025-09-25 06:42:00,3,126.96,380.88
S000052,C0080,19,2025-11-04 14:20:00,1,14.56,14.56
S000053,C0017,30,2025-04-13 02:34:00,2,257.88,515.76
S000054,C0021,15,2025-12-24 02:56:00,2,191.07,382.14
S000055,C0084,17,2026-07-11 22:19:00,5,492.09,2460.45
S000056,C0085,4,2025-01-09 21:52:00,5,156.7,783.5
S000057,C0020,9,2025-05-18 08:07:00,1,373.78,373.78
S000058,C0082,28,2025-10-16 19:13:00,3,109.76,329.28000000000003
S000059,C0007,3,2025-09-28 16:31:00,3,453.61,1360.83
S000060,C0017,21,2026-03-10 08:02:00,1,173.44,173.44
S000061,C0055,18,2025-09-26 05:47:00,4,280.32,1121.28
S000062,C0048,19,2025-01-10 03:04:00,2,277.34,554.68
S000063,C0047,29,2026-07-20 04:27:00,2,30.5,61.0
S000064,C0046,25,2025-02-10 11:13:00,2,336.8,673.6
S000065,C0031,28,2026-07-28 13:39:00,2,463.62,927.24
S000066,C0095,30,2025-06-16 05:56:00,4,22.15,88.6
S000067,C0090,4,2025-12-07 13:51:00,2,140.73,281.46
S000068,C0059,12,2026-01-27 01:54:00,4,118.99,475.96
S000069,C0052,11,2025-11-09 07:14:00,1,333.42,333.42
S000070,C0066,13,2025-10-13 02:49:00,3,182.06,546.1800000000001
S000071,C0034,6,2026-07-04 10:01:00,1,439.75,439.75
S000072,C0045,24,2026-08-18 08:02:00,1,302.32,302.32
S000073,C0074,7,2025-11-18 13:38:00,5,66.67,333.35
S000074,C0069,22,2025-09-18 01:45:00,4,10.83,43.32
S000075,C0043,20,2025-07-21 11:27:00,1,474.95,474.95
S000076,C0039,17,2025-11-18 21:54:00,1,362.68,362.68
S000077,C0038,18,2025-11-13 21:26:00,3,207.18,621.54
S000078,C0023,20,2025-05-11 06:26:00,4,341.89,1367.56
S000079,C0039,10,2026-08-06 09:25:00,5,418.53,2092.6499999999996
S000080,C0042,15,2025-08-04 13:50:00,5,307.26,1536.3
S000081,C0095,6,2026-03-29 14:43:00,2,260.48,520.96
S000082,C0097,8,2025-03-28 09:32:00,5,174.24,871.2
S000083,C0006,8,2025-11-14 07:51:00,2,82.2,164.4
S000084,C0081,19,2026-05-02 19:54:00,1,233.15,233.15
S000085,C0032,5,2025-07-19 22:44:00,4,252.24,1008.96
S000086,C0090,17,2025-01-06 03:49:00,4,117.23,468.92
S000087,C0016,15,2026-04-21 01:35:00,2,459.56,919.12
S000088,C0077,11,2025-05-17 14:42:00,5,494.07,2470.35
S000089,C0071,15,2026-03-30 19:52:00,5,219.1,1095.5
S000090,C0097,8,2025-06-12 23:55:00,4,230.53,922.12
S000091,C0010,23,2025-10-11 16:31:00,2,144.55,289.1
S000092,C0070,3,2025-10-20 07:17:00,3,166.66,499.98
S000093,C0091,7,2025-05-22 04:14:00,4,350.04,1400.16
S000094,C0054,2,2025-03-07 13:26:00,3,275.88,827.64
S000095,C0003,28,2025-07-31 13:24:00,5,473.57,2367.85
S000096,C0039,25,2026-08-13 12:30:00,1,471.94,471.94
S000097,C0029,16,2026-02-04 13:34:00,5,401.94,2009.7
S000098,C0044,22,2025-08-13 08:27:00,4,24.22,96.88
S000099,C0080,18,2026-02-19 23:10:00,4,460.58,1842.32
S000100,C0011,21,2025-01-28 12:37:00,5,334.87,1674.35
S000101,C0034,13,2026-03-15 04:55:00,4,99.05,396.2
S000102,C0049,9,2025-12-02 06:29:00,3,175.38,526.14
S000103,C0096,18,2026-03-08 08:53:00,1,240.45,240.45
S000104,C0084,2,2025-02-23 11:14:00,1,392.8,392.8
S000105,C0031,5,2025-02-01 07:12:00,1,314.45,314.45
S000106,C0060,23,2026-04-30 21:07:00,5,474.4,2372.0
S000107,C0096,23,2025-09-20 11:10:00,5,307.55,1537.75
S000108,C0040,19,2025-04-28 05:19:00,1,293.56,293.56
S000109,C0089,27,2026-01-20 12:45:00,2,47.24,94.48
S000110,C0077,26,2025-09-06 03:44:00,3,426.64,1279.92
S000111,C0055,22,2025-05-04 18:50:00,1,180.13,180.13
S000112,C0054,27,2026-01-15 02:32:00,3,16.2,48.599999999999994
S000113,C0059,23,2026-05-17 03:27:00,3,321.44,964.3199999999999
S000114,C0035,20,2025-06-06 13:11:00,5,483.08,2415.4
S000115,C0076,9,2026-07-06 15:29:00,4,414.61,1658.44
S000116,C0058,8,2025-11-27 07:53:00,1,146.67,146.67
S000117,C0064,28,2026-04-21 18:39:00,4,174.83,699.32
S000118,C0034,11,2025-11-29 05:31:00,2,183.86,367.72
S000119,C0067,7,2025-10-14 19:44:00,3,282.34,847.02
S000120,C0098,8,2025-03-29 07:46:00,4,249.4,997.6
S000121,C0003,3,2026-05-03 20:45:00,4,229.61,918.44
S000122,C0075,12,2025-10-29 07:25:00,2,160.04,320.08
S000123,C0096,18,2026-04-30 17:33:00,3,218.5,655.5
S000124,C0033,8,2025-12-05 11:44:00,4,142.75,571.0
S000125,C0069,25,2025-05-04 23:12:00,3,68.58,205.74
